content,platform,author_name
"What camera do you use? The quality is amazing!",youtube,TechFan123
"Can you make a video about your morning routine?",youtube,LifestyleLover
"Your editing skills are insane! Tutorial please?",youtube,VideoEditor99
"How long have you been creating content?",instagram,CuriousFollower
"This is so inspiring! Keep up the great work!",instagram,MotivatedMike
"What software do you use for editing?",youtube,EditPro2024
"Love your aesthetic! What preset is this?",instagram,AestheticQueen
"Can you do a Q&A video?",youtube,FanGirl2024
"Your B-roll is incredible! Any tips?",youtube,FilmmakerJoe
"How do you stay so consistent with uploads?",instagram,ContentCreator101
"What microphone do you recommend?",youtube,AudioNerd
"This changed my perspective completely!",tiktok,MindBlown123
"Do you script your videos or improvise?",youtube,AspiringYouTuber
"Your thumbnails are fire! How do you make them?",youtube,DesignLover
"What's your workout routine?",instagram,FitnessFan
"Can you review more budget options?",youtube,BudgetKing
"How did you grow your channel so fast?",youtube,SmallCreator
"Your storytelling is next level!",tiktok,StorytellerSam
"What's your favorite content to create?",instagram,CreatorCurious
"Do a house tour please!",youtube,NosyNancy
"How do you balance content and personal life?",instagram,WorkLifeBalance
"Your color grading is perfect! Settings?",youtube,ColorGrader
"Can you do a day in the life video?",tiktok,VlogLover
"What tripod do you use for those smooth shots?",youtube,GearHead99
"This is exactly what I needed to hear today!",instagram,GratefulViewer
"How much does your setup cost?",youtube,BudgetPlanner
"You should collab with other creators!",tiktok,CollabWisher
"What's your content planning process?",instagram,PlannerPro
"Your transitions are so smooth!",tiktok,TransitionKing
"How do you come up with video ideas?",youtube,IdeaSeeker
"Can you show your workspace setup?",youtube,SetupEnthusiast
"What lighting do you use?",youtube,LightingPro
"Your voice is so calming!",tiktok,ASMRFan
"Do you have a podcast?",instagram,PodcastListener
"How do you handle negative comments?",youtube,MentalHealthMatter
"What's your upload schedule?",youtube,ConsistencyChecker
"Can you make longer videos?",youtube,LongFormFan
"Your shorts are addictive!",youtube,ShortFormLover
"What's your niche exactly?",instagram,NicheExplorer
"How do you monetize your content?",youtube,MoneyMinded
"Can you teach us SEO for YouTube?",youtube,SEOStudent
"Your community is so positive!",instagram,CommunityLover
"What camera settings do you use?",youtube,SettingsNerd
"Do you edit on mobile or desktop?",tiktok,MobileEditor
"How long does it take to edit one video?",youtube,TimeTracker
"Your Reels are always on point!",instagram,ReelsFan
"Can you do a giveaway?",youtube,GiveawayHunter
"What's your favorite social platform?",tiktok,PlatformHopper
"How do you stay motivated?",instagram,MotivationSeeker
"Your content helped me start my channel!",youtube,NewCreator2024
"What's your backup camera?",youtube,GearBackup
"Do you use AI tools for content?",tiktok,AIEnthusiast
"How do you research trending topics?",youtube,TrendHunter
"Your engagement rate is crazy!",instagram,AnalyticsNerd
"Can you share your media kit?",instagram,BrandPartner
"What's your best performing video?",youtube,DataDriven
"How do you handle burnout?",tiktok,BurnoutSurvivor
"Your background music choices are perfect!",youtube,MusicLover
"Do you have a second channel?",youtube,ChannelExplorer
"What advice would you give to beginners?",instagram,BeginnerCreator
